ObjectName,Category,Frequency
Pfeil,High frequency,12662
Speer,High frequency,3116
Münze,High frequency,2171
Gefäss,High frequency,1873
Pfeilspitze,High frequency,1824
Mao-Abzeichen,Cultural-specific,1165
Chinesische Arznei,Cultural-specific,381
Kalebasse,Cultural-specific,367
Kris,Cultural-specific,359
Mao Abzeichen,Cultural-specific,161
Steinbeil,Material+Object,497
Tongefäß,Material+Object,444
Holzfigur,Material+Object,262
Steingerät,Material+Object,234
Tonköpfchen,Material+Object,213
Mao-Abzeichen,Diminutive,1165
Körbchen,Diminutive,639
Töpfchen,Diminutive,272
Täschchen,Diminutive,244
Tonköpfchen,Diminutive,213
Mao-Abzeichen,Compound,1165
Pfeil-oder Lanzenspitze,Compound,637
Inschrift- oder Bildrolle,Compound,252
Sammelkissen mit Mao-Abzeichen,Compound,94
Lanzen- oder Pfeilspitze,Compound,87
Dramentext für Taʿziye (shiitisches religiöses Drama),Long descriptive,153
Holzfigur siehe Inv. Nr.: 102278,Long descriptive,113
Feuersteinspahn klein und dünn,Long descriptive,110
Fläschchen für Augenschminke,Long descriptive,100
Sammelkissen mit Mao-Abzeichen,Long descriptive,94
